2021-07-16 21:10:37.405140 | 127.0.0.1 | GET | /about/
2021-07-16 21:10:41.199403 | 127.0.0.1 | GET | /about/
2021-07-16 21:13:36.246106 | 127.0.0.1 | GET | /about/
2021-07-16 21:13:38.666554 | 127.0.0.1 | GET | /
2021-07-16 21:13:45.843363 | 127.0.0.1 | GET | /
2021-07-16 21:17:29.969755 | 127.0.0.1 | GET | /
2021-07-16 21:17:35.343585 | 127.0.0.1 | GET | /contacts/
2021-07-16 21:17:45.270941 | 127.0.0.1 | GET | /contacts/
2021-07-16 21:18:37.184569 | 127.0.0.1 | GET | /contacts/
2021-07-16 21:18:38.274132 | 127.0.0.1 | GET | /contacts/
2021-07-16 21:19:28.820526 | 127.0.0.1 | GET | /contacts/
2021-07-16 21:19:32.345513 | 127.0.0.1 | GET | /about/
2021-07-16 21:21:26.369654 | 127.0.0.1 | GET | /
2021-07-16 21:21:35.662395 | 127.0.0.1 | GET | /
2021-07-16 21:23:29.995730 | 127.0.0.1 | GET | /
2021-07-16 21:23:39.799577 | 127.0.0.1 | GET | /advertisement-list
2021-07-16 21:23:54.998725 | 127.0.0.1 | GET | /advertisement-list/
2021-07-16 21:24:00.266777 | 127.0.0.1 | GET | /
2021-07-16 21:48:09.142414 | 127.0.0.1 | GET | /
2021-07-16 21:48:39.433768 | 127.0.0.1 | GET | /
2021-07-16 21:49:19.048468 | 127.0.0.1 | GET | /
2021-07-16 21:50:10.356033 | 127.0.0.1 | GET | /
2021-07-16 21:51:42.902896 | 127.0.0.1 | GET | /
2021-07-16 21:54:03.554279 | 127.0.0.1 | GET | /
2021-07-16 21:54:11.776500 | 127.0.0.1 | GET | /
2021-07-16 21:54:16.112649 | 127.0.0.1 | GET | /about/
2021-07-16 21:54:25.278836 | 127.0.0.1 | GET | /advertisement-list/
2021-07-16 21:54:34.155056 | 127.0.0.1 | GET | /advertisement-list/
2021-07-16 21:57:17.469486 | 127.0.0.1 | GET | /
2021-07-16 21:57:25.576523 | 127.0.0.1 | GET | /
2021-07-16 22:02:22.724311 | 127.0.0.1 | GET | /
2021-07-16 22:02:30.020036 | 127.0.0.1 | GET | /regions/
2021-07-16 22:02:46.960310 | 127.0.0.1 | GET | /regions/
2021-07-16 22:03:18.644552 | 127.0.0.1 | GET | /regions/
2021-07-16 22:05:17.055024 | 127.0.0.1 | GET | /
2021-07-16 22:05:19.050665 | 127.0.0.1 | POST | /
2021-07-17 13:34:54.241621 | 127.0.0.1 | GET | /
2021-07-17 13:34:54.316421 | 127.0.0.1 | GET | /favicon.ico
2021-07-17 13:35:04.595238 | 127.0.0.1 | GET | /advertisement-list/
2021-07-17 13:36:31.229946 | 127.0.0.1 | GET | /admin/
2021-07-17 13:36:31.238998 | 127.0.0.1 | GET | /admin/login/
2021-07-17 13:36:47.402023 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:36:50.479721 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:36:59.987914 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:37:19.563321 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:37:24.524066 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:38:03.096937 | 127.0.0.1 | GET | /admin/login/
2021-07-17 13:38:07.631468 | 127.0.0.1 | POST | /admin/login/
2021-07-17 13:38:16.183807 | 127.0.0.1 | GET | /admin/
